stop_id,povp_delavnik_postanek,imena
502013,11.1755489003439,Ambrožev trg
502014,6.79166703950925,Ambrožev trg
502021,6.03256465756466,Cukrarna
502022,12.0734620384775,Cukrarna
502024,7.87093452738364,Cukrarna
502031,7.06848739495798,Streliška
502032,5.52509337068161,Streliška
503011,6.23942385033271,Strelišče
503012,5.52686316951023,Strelišče
503014,9.27273500309214,Orlova
503021,6.07735932368285,Rakovnik
503022,5.19895330064015,Rakovnik
503031,5.47182751888634,Akademija
503032,4.21315889992361,Akademija
503041,4.95186529157117,Peruzzijeva
503042,5.13949579831933,Peruzzijeva
503051,8.9732228555758,Mihov štradon
503052,4.73008021390374,Mihov štradon
504011,4.91330532212885,Gornji Rudnik
504012,5.95,Gornji Rudnik
504021,6.25338175073879,Spodnji Rudnik
504022,9.47045641786126,Spodnji Rudnik
504032,8.29313725490196,Rudnik
504033,3.87516063948701,Rudnik
504041,5.65545728781023,Jurčkova
504042,5.91045918367347,Jurčkova
504051,9.81501218202899,NS Rudnik
504052,6.09608011036583,NS Rudnik
504071,4.81025641025641,Pod Hribom
504072,4.77272727272727,Pod Hribom
504081,7.43132192202262,Lavrica pri Malči
504082,7.54072538380497,Lavrica pri Malči
504091,5.30882352941176,Lavrica
504092,5.19705882352941,Lavrica
504101,5.06603217044394,Škofljica Petkovšek
504102,6.88417366946779,Škofljica Petkovšek
504111,6.47638236376626,Škofljica žaga
504112,6.56372402107696,Škofljica žaga
504121,6.39835164835165,Bobrova
504122,5.29871794871795,Bobrova
505011,5.88645833333333,Škofljica Javornik
505012,5.42395833333333,Škofljica Javornik
505021,5.26875,Reber pri Škofljici
505022,4.03529411764706,Reber pri Škofljici
505031,6.09803921568628,Špilar
505032,9.61458333333334,Špilar
505041,5.48627450980392,Mali vrh
505042,4.63333333333333,Mali vrh
505051,5.05639880952381,Razdrto
505052,4.47604166666667,Razdrto
505061,7.18097572362278,Šmarje
505062,6.98116246498599,Šmarje
505071,5.45490196078431,Sap
505072,4.6875,Sap
505081,5.29187675070028,Cikava
505082,4.946918767507,Cikava
505091,6.25,Brvace
505092,5.625,Brvace
505101,5.45104166666667,Stara pošta
505102,4.84575163398693,Stara pošta
505111,5.79404761904762,Pod gozdom
505112,5.24270833333333,Pod gozdom
505122,8.02254901960784,Vodičar
505132,8.33333333333333,Adamičev spomenik
505152,4.96111111111111,Ljubljanska
505162,4.6389880952381,OŠ Brinje
505172,6.10602240896359,Kongo
505182,4.44222222222222,Dom starejših
505192,5,Dom obrtnikov
515011,4.83366013071896,Škofljica špica
515012,5.24817927170868,Škofljica
536012,,Mrzle njive
536022,36.9272727272727,Krpan
600021,9.4486552404588,Ajdovščina
600022,8.35430797306296,Ajdovščina
600032,13.6149572632314,Dalmatinova
601011,9.55167187096085,Pošta
601012,11.0273874723776,Konzorcij
602011,8.33589818763968,Cankarjev dom
602012,11.127358759456,Cankarjev dom
602021,6.57891584686571,Drama
602022,6.06311001686369,Drama
602031,7.65050944523113,Hajdrihova
602032,6.28913741738056,Hajdrihova
602041,14.8166947575813,Tobačna
602042,8.57476255291646,Tobačna
602051,9.3617030710728,Aškerčeva
602052,8.48750581682619,Aškerčeva
602061,6.32157627884656,Križanke
602062,7.49836870816582,Križanke
602071,7.3953548085901,Mirje
602072,6.38789576436636,Mirje
602092,5.25258662905722,Ziherlova
602093,6.04646040234276,Ziherlova
602101,6.8506711465028,Gornji trg
602102,10.2925148204552,Gornji trg
602111,5.73762844757083,Privoz
602112,5.806233244167,Privoz
603011,6.62083651642475,Jadranska
603012,5.15060358230774,Jadranska
603021,7.1652043005963,Gerbičeva
603022,6.07665483305622,Gerbičeva
603031,8.28434744852064,Krimska
603032,6.62258586655054,Krimska
603041,5.43636592166004,Koprska
603044,10.8151629416335,Koprska
603061,7.27219425311531,Murgle
603064,21.3333333333333,Murgle
603071,10.3055544129074,Pot na Rakovo jelšo
603072,8.14756076983615,Pot na Rakovo jelšo
603081,6.28480392156863,Veliki štradon
603082,6.57450980392157,Veliki štradon
603121,4.534410430839,Ižanska
603122,4.80238095238095,Ižanska
603141,4.74145658263305,Tbilisijska
603142,5.19701213818861,Tbilisijska
603143,3.66666666666667,Tbilisijska
603144,10.7666666666667,Tbilisijska
603151,4.95085034013605,Golouhova
603152,4.91111111111111,Golouhova
603161,6.86023216979099,Galjevica
603162,7.10583893230952,Galjevica
603171,3.83,Opekarska
603172,9.36916645446057,Opekarska
603201,8.2,Mokrška
603202,,Mokrška
603211,10,Tomažičeva
603212,10.6583333333333,Tomažičeva
603251,,Log
603252,,Log
604031,7.99375,MESTNI LOG
604032,15.695320855615,Mestni log
700011,10.0158803116634,Gosposvetska
700012,15.3927097845043,Gosposvetska
702011,4.37444444444444,Pod Rožnikom
702012,17.0397058823529,Pod Rožnikom
702021,8.56111767110447,Študentsko naselje
702022,5.47975273477004,Študentsko naselje
702031,6.61210407239819,Svetčeva
702032,4.79803921568627,Svetčeva
703011,4.16666666666667,Rožna dolina
703012,5.69845726169255,Rožna dolina
703021,5.55091036414566,Cesta XV
703022,6.66519607843137,Cesta XV
703031,7.45143826761474,Jamnikarjeva
703032,6.91378996820173,Jamnikarjeva
703041,6.96399796858274,Viško polje
703042,5.42700191964898,Viško polje
703051,4.10119047619048,Podmornica
703052,6.08137254901961,Podmornica
703081,6.48544341554848,Glince
703082,5.94053949490482,Glince
703091,8.3473605530699,Vič
703092,6.7504239382079,Vič
703101,7.12368131839988,Bonifacija
703102,6.95203463006368,Bonifacija
703111,7,Dolgi most
703112,5.79433746950691,Dolgi most
703121,8.26184501772737,Živalski vrt-ZOO
703122,6.25351560204501,Živalski vrt-ZOO
703181,,Večna pot
703182,5.76769162210339,Večna pot
703191,5.14243452625806,Pot Rdečega križa
703192,4.09799253034547,Pot Rdečega križa
703201,6.04004492239787,Ježkova
703202,4.61789321789322,Ježkova
703211,7.92602152749212,I. Kobilca
703212,5.44936974789916,I. Kobilca
703221,,Cesta na Vrhovce
703222,6.83333333333333,Cesta na Vrhovce
704023,7.6659125188537,Brdo
704026,10.3590001501766,Brdo
704031,8.90534759358289,Vrhovci
704032,8.11314192343605,Vrhovci
704051,5.34434682964095,Dolgi most Rotar
704052,5.37261904761905,Dolgi most Rotar
704061,5.31862745098039,Na Gmajnici
704062,5.7922268907563,Na Gmajnici
704071,4.52254901960784,Radna
704072,6.361115355233,Radna
704081,6.0876437288202,Pri Poku
704101,6.57872023809524,Kozarje
704102,5.56190476190476,Kozarje
704141,5.74185977421272,Zgornji log
704142,5.67786184403832,Zgornji log
704151,4.5928527354998,Cesta v Gorice
704152,6.26954662984075,Cesta v Gorice
704161,4.45454545454545,C. dveh cesarjev
704162,6.8,C. dveh cesarjev
704181,6.7727504208291,Podvozna pot
704182,5.93333333333333,Podvozna pot
